"1ACIS511",1,1,0,527,0,32;
"1ACIS512",1,1,0,769,0,12;
"1CBAT",1,1,92,11,0,8;
"1CBAT",2,1,92,11,0,8;
"1CBAT",3,1,92,11,0,8;
"1CBAT",4,1,92,11,0,8;
"1CBAT",5,1,92,11,0,8;
"1CBAT",6,1,92,108,0,8;
"1CBBT",1,1,93,11,0,8;
"1CBBT",2,1,93,11,0,8;
"1CBBT",3,1,93,11,0,8;
"1CBBT",4,1,93,11,0,8;
"1CBBT",5,1,93,11,0,8;
"1CBBT",6,1,93,108,0,8;
"1CRAT",1,1,94,11,0,8;
"1CRAT",2,1,94,11,0,8;
"1CRAT",3,1,94,11,0,8;
"1CRAT",4,1,94,11,0,8;
"1CRAT",5,1,94,11,0,8;
"1CRAT",6,1,94,108,0,8;
"1CRBT",1,1,95,11,0,8;
"1CRBT",2,1,95,11,0,8;
"1CRBT",3,1,95,11,0,8;
"1CRBT",4,1,95,11,0,8;
"1CRBT",5,1,95,11,0,8;
"1CRBT",6,1,95,108,0,8;
"1DABOAEN",1,1,19,11,0,1;
"1DABOAEN",2,1,19,11,0,1;
"1DABOAEN",3,1,19,11,0,1;
"1DABOAEN",4,1,19,11,0,1;
"1DABOAEN",5,1,19,11,0,1;
"1DABOAEN",6,1,13,32,0,1;
"1DABOAON",1,1,20,11,7,1;
"1DABOAON",2,1,20,11,7,1;
"1DABOAON",3,1,20,11,7,1;
"1DABOAON",4,1,20,11,7,1;
"1DABOAON",5,1,20,11,7,1;
"1DABOAON",6,1,14,32,7,1;
"1DABOBEN",1,1,23,11,0,1;
"1DABOBEN",2,1,23,11,0,1;
"1DABOBEN",3,1,23,11,0,1;
"1DABOBEN",4,1,23,11,0,1;
"1DABOBEN",5,1,23,11,0,1;
"1DABOBEN",6,1,17,32,0,1;
"1DABOBON",1,1,24,11,7,1;
"1DABOBON",2,1,24,11,7,1;
"1DABOBON",3,1,24,11,7,1;
"1DABOBON",4,1,24,11,7,1;
"1DABOBON",5,1,24,11,7,1;
"1DABOBON",6,1,18,32,7,1;
"1DACTAT",1,1,96,11,0,8;
"1DACTAT",2,1,96,11,0,8;
"1DACTAT",3,1,96,11,0,8;
"1DACTAT",4,1,0,78,0,8;
"1DACTAT",5,1,96,11,0,8;
