
                  Time                     X                     Y                     Z                    Vx                    Vy                    Vz
                     D                     D                     D                     D                     D                     D                     D
                     s                     m                     m                     m                   m/s                   m/s                   m/s
      7.9833900000E+07      7.6798680394E+10     -9.1930023309E+10      1.5301715442E+10      3.3435124099E+04      1.8378098414E+04      2.7256732040E+04
      7.9834200000E+07      7.6788649856E+10     -9.1935535990E+10      1.5293538423E+10      3.3437617397E+04      1.8373111819E+04      2.7259225338E+04
      7.9834500000E+07      7.6778617823E+10     -9.1941047176E+10      1.5285359907E+10      3.3440110695E+04      1.8370618521E+04      2.7259225338E+04
      7.9834800000E+07      7.6768585790E+10     -9.1946558361E+10      1.5277182887E+10      3.3442603993E+04      1.8370618521E+04      2.7259225338E+04
      7.9835100000E+07      7.6758552261E+10     -9.1952069547E+10      1.5269004372E+10      3.3445097291E+04      1.8368125223E+04      2.7261718635E+04
      7.9835400000E+07      7.6748518731E+10     -9.1957579236E+10      1.5260825856E+10      3.3445097291E+04      1.8365631925E+04      2.7259225338E+04
      7.9835700000E+07      7.6738485202E+10     -9.1963088926E+10      1.5252648837E+10      3.3445097291E+04      1.8365631925E+04      2.7259225338E+04
      7.9836000000E+07      7.6728451673E+10     -9.1968598616E+10      1.5244470321E+10      3.3447590588E+04      1.8363138627E+04      2.7261718635E+04
      7.9836300000E+07      7.6718416648E+10     -9.1974106809E+10      1.5236291805E+10      3.3452577184E+04      1.8360645329E+04      2.7261718635E+04
      7.9836600000E+07      7.6708380127E+10     -9.1979615003E+10      1.5228113290E+10      3.3452577184E+04      1.8358152031E+04      2.7261718635E+04
      7.9836900000E+07      7.6698345102E+10     -9.1985121700E+10      1.5219934774E+10      3.3452577184E+04      1.8355658734E+04      2.7261718635E+04
      7.9837200000E+07      7.6688308580E+10     -9.1990628398E+10      1.5211756259E+10      3.3455070482E+04      1.8353165436E+04      2.7261718635E+04
      7.9837500000E+07      7.6678272059E+10     -9.1996133600E+10      1.5203577743E+10      3.3457563780E+04      1.8350672138E+04      2.7261718635E+04
      7.9837800000E+07      7.6668234042E+10     -9.2001638801E+10      1.5195399227E+10      3.3460057078E+04      1.8350672138E+04      2.7264211933E+04
      7.9838100000E+07      7.6658196025E+10     -9.2007144003E+10      1.5187219216E+10      3.3460057078E+04      1.8348178840E+04      2.7264211933E+04
      7.9838400000E+07      7.6648158008E+10     -9.2012647709E+10      1.5179040700E+10      3.3462550375E+04      1.8343192244E+04      2.7261718635E+04
      7.9838700000E+07      7.6638118495E+10     -9.2018149918E+10      1.5170862185E+10      3.3465043673E+04      1.8343192244E+04      2.7264211933E+04
      7.9839000000E+07      7.6628078982E+10     -9.2023653624E+10      1.5162682173E+10      3.3467536971E+04      1.8343192244E+04      2.7266705231E+04
      7.9839300000E+07      7.6618037973E+10     -9.2029155834E+10      1.5154502162E+10      3.3467536971E+04      1.8338205649E+04      2.7264211933E+04
      7.9839600000E+07      7.6607998460E+10     -9.2034656547E+10      1.5146323646E+10      3.3467536971E+04      1.8335712351E+04      2.7264211933E+04
      7.9839900000E+07      7.6597957451E+10     -9.2040157261E+10      1.5138143634E+10      3.3472523567E+04      1.8335712351E+04      2.7266705231E+04
      7.9840200000E+07      7.6587914945E+10     -9.2045657975E+10      1.5129963623E+10      3.3475016865E+04      1.8333219053E+04      2.7264211933E+04
      7.9840500000E+07      7.6577872440E+10     -9.2051157192E+10      1.5121785107E+10      3.3475016865E+04      1.8330725755E+04      2.7264211933E+04
      7.9840800000E+07      7.6567829935E+10     -9.2056656410E+10      1.5113605096E+10      3.3475016865E+04      1.8328232457E+04      2.7266705231E+04
      7.9841100000E+07      7.6557787430E+10     -9.2062154132E+10      1.5105425084E+10      3.3477510163E+04      1.8325739160E+04      2.7266705231E+04
      7.9841400000E+07      7.6547743429E+10     -9.2067651854E+10      1.5097245072E+10      3.3480003460E+04      1.8325739160E+04      2.7266705231E+04
      7.9841700000E+07      7.6537699428E+10     -9.2073149575E+10      1.5089065061E+10      3.3482496758E+04      1.8323245862E+04      2.7269198529E+04
      7.9842000000E+07      7.6527653931E+10     -9.2078645801E+10      1.5080883553E+10      3.3484990056E+04      1.8320752564E+04      2.7269198529E+04
      7.9842300000E+07      7.6517608434E+10     -9.2084142027E+10      1.5072703542E+10      3.3484990056E+04      1.8318259266E+04      2.7266705231E+04
      7.9842600000E+07      7.6507562937E+10     -9.2089636757E+10      1.5064523530E+10      3.3484990056E+04      1.8315765968E+04      2.7266705231E+04
      7.9842900000E+07      7.6497517440E+10     -9.2095131487E+10      1.5056343519E+10      3.3487483354E+04      1.8313272670E+04      2.7269198529E+04
      7.9843200000E+07      7.6487470447E+10     -9.2100624720E+10      1.5048162011E+10      3.3492469950E+04      1.8310779372E+04      2.7269198529E+04
      7.9843500000E+07      7.6477421958E+10     -9.2106117954E+10      1.5039982000E+10      3.3492469950E+04      1.8310779372E+04      2.7269198529E+04
      7.9843800000E+07      7.6467374965E+10     -9.2111611188E+10      1.5031800492E+10      3.3492469950E+04      1.8308286075E+04      2.7271691827E+04
      7.9844100000E+07      7.6457326476E+10     -9.2117102926E+10      1.5023618984E+10      3.3494963247E+04      1.8305792777E+04      2.7269198529E+04
      7.9844400000E+07      7.6447277987E+10     -9.2122594664E+10      1.5015438973E+10      3.3497456545E+04      1.8303299479E+04      2.7269198529E+04
      7.9844700000E+07      7.6437228002E+10     -9.2128084906E+10      1.5007257465E+10      3.3499949843E+04      1.8300806181E+04      2.7271691827E+04
      7.9845000000E+07      7.6427178017E+10     -9.2133575147E+10      1.4999075958E+10      3.3499949843E+04      1.8300806181E+04      2.7271691827E+04
      7.9845300000E+07      7.6417128032E+10     -9.2139065389E+10      1.4990894450E+10      3.3502443141E+04      1.8298312883E+04      2.7271691827E+04
      7.9845600000E+07      7.6407076551E+10     -9.2144554135E+10      1.4982712943E+10      3.3504936439E+04      1.8293326288E+04      2.7271691827E+04
      7.9845900000E+07      7.6397025070E+10     -9.2150041385E+10      1.4974531435E+10      3.3504936439E+04      1.8293326288E+04      2.7271691827E+04
      7.9846200000E+07      7.6386973590E+10     -9.2155530131E+10      1.4966349928E+10      3.3507429737E+04      1.8290832990E+04      2.7271691827E+04
      7.9846500000E+07      7.6376920613E+10     -9.2161015885E+10      1.4958168420E+10      3.3509923035E+04      1.8288339692E+04      2.7274185125E+04
      7.9846800000E+07      7.6366867636E+10     -9.2166503135E+10      1.4949985417E+10      3.3512416332E+04      1.8288339692E+04      2.7274185125E+04
      7.9847100000E+07      7.6356813163E+10     -9.2171988889E+10      1.4941803909E+10      3.3512416332E+04      1.8283353096E+04      2.7271691827E+04
      7.9847400000E+07      7.6346760186E+10     -9.2177473147E+10      1.4933622401E+10      3.3514909630E+04      1.8283353096E+04      2.7274185125E+04
      7.9847700000E+07      7.6336704217E+10     -9.2182958900E+10      1.4925439398E+10      3.3517402928E+04      1.8280859798E+04      2.7274185125E+04
      7.9848000000E+07      7.6326649744E+10     -9.2188441662E+10      1.4917257890E+10      3.3517402928E+04      1.8278366500E+04      2.7274185125E+04
      7.9848300000E+07      7.6316593775E+10     -9.2193925920E+10      1.4909074887E+10      3.3519896226E+04      1.8278366500E+04      2.7276678422E+04
      7.9848600000E+07      7.6306537806E+10     -9.2199408682E+10      1.4900891883E+10      3.3522389524E+04      1.8273379905E+04      2.7274185125E+04
      7.9848900000E+07      7.6296480342E+10     -9.2204889948E+10      1.4892710376E+10      3.3522389524E+04      1.8270886607E+04      2.7274185125E+04
      7.9849200000E+07      7.6286424373E+10     -9.2210371214E+10      1.4884527372E+10      3.3524882822E+04      1.8270886607E+04      2.7276678422E+04
      7.9849500000E+07      7.6276365412E+10     -9.2215852480E+10      1.4876344369E+10      3.3527376119E+04      1.8268393309E+04      2.7276678422E+04
      7.9849800000E+07      7.6266307947E+10     -9.2221332250E+10      1.4868161365E+10      3.3527376119E+04      1.8265900011E+04      2.7276678422E+04
      7.9850100000E+07      7.6256248986E+10     -9.2226812020E+10      1.4859978362E+10      3.3529869417E+04      1.8263406713E+04      2.7276678422E+04
      7.9850400000E+07      7.6246190025E+10     -9.2232290294E+10      1.4851795358E+10      3.3532362715E+04      1.8260913416E+04      2.7276678422E+04
      7.9850700000E+07      7.6236129569E+10     -9.2237768568E+10      1.4843612355E+10      3.3534856013E+04      1.8260913416E+04      2.7276678422E+04
      7.9851000000E+07      7.6226069112E+10     -9.2243246842E+10      1.4835429351E+10      3.3534856013E+04      1.8258420118E+04      2.7279171720E+04
      7.9851300000E+07      7.6216008655E+10     -9.2248723620E+10      1.4827244852E+10      3.3537349311E+04      1.8255926820E+04      2.7279171720E+04
      7.9851600000E+07      7.6205946702E+10     -9.2254200398E+10      1.4819061848E+10      3.3539842609E+04      1.8253433522E+04      2.7276678422E+04
      7.9851900000E+07      7.6195884749E+10     -9.2259675681E+10      1.4810878844E+10      3.3539842609E+04      1.8250940224E+04      2.7279171720E+04
      7.9852200000E+07      7.6185822797E+10     -9.2265150963E+10      1.4802694345E+10      3.3542335907E+04      1.8248446926E+04      2.7279171720E+04
      7.9852500000E+07      7.6175759348E+10     -9.2270624749E+10      1.4794511341E+10      3.3544829204E+04      1.8245953628E+04      2.7279171720E+04
      7.9852800000E+07      7.6165695899E+10     -9.2276098535E+10      1.4786326842E+10      3.3544829204E+04      1.8245953628E+04      2.7281665018E+04
      7.9853100000E+07      7.6155632450E+10     -9.2281572321E+10      1.4778142342E+10      3.3547322502E+04      1.8243460331E+04      2.7279171720E+04
      7.9853400000E+07      7.6145567506E+10     -9.2287044611E+10      1.4769959339E+10      3.3549815800E+04      1.8240967033E+04      2.7279171720E+04
      7.9853700000E+07      7.6135502561E+10     -9.2292516901E+10      1.4761774839E+10      3.3549815800E+04      1.8238473735E+04      2.7281665018E+04
      7.9854000000E+07      7.6125437616E+10     -9.2297987695E+10      1.4753590340E+10      3.3552309098E+04      1.8235980437E+04      2.7281665018E+04
      7.9854300000E+07      7.6115371175E+10     -9.2303458489E+10      1.4745405840E+10      3.3554802396E+04      1.8235980437E+04      2.7281665018E+04
      7.9854600000E+07      7.6105304735E+10     -9.2308929283E+10      1.4737221341E+10      3.3557295694E+04      1.8233487139E+04      2.7281665018E+04
      7.9854900000E+07      7.6095236798E+10     -9.2314398582E+10      1.4729036841E+10      3.3557295694E+04      1.8228500544E+04      2.7281665018E+04
      7.9855200000E+07      7.6085170357E+10     -9.2319866384E+10      1.4720852342E+10      3.3559788991E+04      1.8226007246E+04      2.7281665018E+04
      7.9855500000E+07      7.6075100925E+10     -9.2325334186E+10      1.4712667842E+10      3.3562282289E+04      1.8226007246E+04      2.7284158316E+04
      7.9855800000E+07      7.6065032988E+10     -9.2330801988E+10      1.4704481847E+10      3.3562282289E+04      1.8226007246E+04      2.7284158316E+04
      7.9856100000E+07      7.6054963555E+10     -9.2336269790E+10      1.4696297347E+10      3.3564775587E+04      1.8223513948E+04      2.7284158316E+04
      7.9856400000E+07      7.6044894123E+10     -9.2341736097E+10      1.4688111352E+10      3.3567268885E+04      1.8218527352E+04      2.7284158316E+04
      7.9856700000E+07      7.6034823194E+10     -9.2347200907E+10      1.4679926852E+10      3.3567268885E+04      1.8216034054E+04      2.7284158316E+04
      7.9857000000E+07      7.6024753761E+10     -9.2352665717E+10      1.4671740857E+10      3.3569762183E+04      1.8216034054E+04      2.7284158316E+04
      7.9857300000E+07      7.6014681337E+10     -9.2358130527E+10      1.4663556357E+10      3.3572255481E+04      1.8213540757E+04      2.7284158316E+04
      7.9857600000E+07      7.6004610408E+10     -9.2363593841E+10      1.4655370362E+10      3.3572255481E+04      1.8211047459E+04      2.7286651614E+04
      7.9857900000E+07      7.5994537983E+10     -9.2369057156E+10      1.4647184366E+10      3.3574748779E+04      1.8211047459E+04      2.7284158316E+04
      7.9858200000E+07      7.5984465559E+10     -9.2374520470E+10      1.4638999867E+10      3.3577242076E+04      1.8208554161E+04      2.7284158316E+04
      7.9858500000E+07      7.5974391638E+10     -9.2379982288E+10      1.4630813871E+10      3.3579735374E+04      1.8203567565E+04      2.7286651614E+04
      7.9858800000E+07      7.5964317717E+10     -9.2385442610E+10      1.4622627876E+10      3.3579735374E+04      1.8201074267E+04      2.7286651614E+04
      7.9859100000E+07      7.5954243797E+10     -9.2390902933E+10      1.4614441880E+10      3.3582228672E+04      1.8201074267E+04      2.7286651614E+04
      7.9859400000E+07      7.5944168380E+10     -9.2396363255E+10      1.4606255885E+10      3.3584721970E+04      1.8201074267E+04      2.7289144912E+04
      7.9859700000E+07      7.5934092964E+10     -9.2401823577E+10      1.4598068394E+10      3.3584721970E+04      1.8196087672E+04      2.7289144912E+04
      7.9860000000E+07      7.5924017547E+10     -9.2407280908E+10      1.4589882398E+10      3.3587215268E+04      1.8193594374E+04      2.7286651614E+04
      7.9860300000E+07      7.5913940635E+10     -9.2412739734E+10      1.4581696403E+10      3.3589708566E+04      1.8193594374E+04      2.7286651614E+04
      7.9860600000E+07      7.5903863722E+10     -9.2418197064E+10      1.4573510407E+10      3.3589708566E+04      1.8191101076E+04      2.7289144912E+04
      7.9860900000E+07      7.5893786809E+10     -9.2423654395E+10      1.4565322916E+10      3.3592201863E+04      1.8188607778E+04      2.7289144912E+04
      7.9861200000E+07      7.5883708401E+10     -9.2429110229E+10      1.4557136920E+10      3.3594695161E+04      1.8186114480E+04      2.7289144912E+04
      7.9861500000E+07      7.5873629992E+10     -9.2434566063E+10      1.4548949429E+10      3.3597188459E+04      1.8183621182E+04      2.7289144912E+04
      7.9861800000E+07      7.5863550088E+10     -9.2440020402E+10      1.4540763433E+10      3.3597188459E+04      1.8181127885E+04      2.7289144912E+04
      7.9862100000E+07      7.5853471679E+10     -9.2445474740E+10      1.4532575942E+10      3.3599681757E+04      1.8178634587E+04      2.7291638210E+04
      7.9862400000E+07      7.5843390279E+10     -9.2450927582E+10      1.4524388450E+10      3.3602175055E+04      1.8178634587E+04      2.7291638210E+04
      7.9862700000E+07      7.5833310374E+10     -9.2456381921E+10      1.4516200959E+10      3.3602175055E+04      1.8176141289E+04      2.7291638210E+04
      7.9863000000E+07      7.5823228974E+10     -9.2461833267E+10      1.4508013467E+10      3.3604668353E+04      1.8173647991E+04      2.7291638210E+04
      7.9863300000E+07      7.5813147573E+10     -9.2467286110E+10      1.4499825976E+10      3.3604668353E+04      1.8171154693E+04      2.7291638210E+04
      7.9863600000E+07      7.5803066173E+10     -9.2472735960E+10      1.4491638484E+10      3.3607161650E+04      1.8168661395E+04      2.7291638210E+04
      7.9863900000E+07      7.5792983276E+10     -9.2478187306E+10      1.4483450993E+10      3.3609654948E+04      1.8168661395E+04      2.7291638210E+04
      7.9864200000E+07      7.5782900380E+10     -9.2483637157E+10      1.4475263501E+10      3.3612148246E+04      1.8163674800E+04      2.7291638210E+04
      7.9864500000E+07      7.5772815987E+10     -9.2489085511E+10      1.4467076010E+10      3.3614641544E+04      1.8163674800E+04      2.7291638210E+04
      7.9864800000E+07      7.5762731595E+10     -9.2494535362E+10      1.4458888519E+10      3.3614641544E+04      1.8161181502E+04      2.7294131507E+04
      7.9865100000E+07      7.5752647202E+10     -9.2499982220E+10      1.4450699531E+10      3.3617134842E+04      1.8158688204E+04      2.7294131507E+04
      7.9865400000E+07      7.5742561314E+10     -9.2505430575E+10      1.4442512040E+10      3.3619628140E+04      1.8156194906E+04      2.7291638210E+04
      7.9865700000E+07      7.5732475425E+10     -9.2510875937E+10      1.4434324548E+10      3.3619628140E+04      1.8153701608E+04      2.7294131507E+04
      7.9866000000E+07      7.5722389537E+10     -9.2516322796E+10      1.4426135561E+10      3.3622121438E+04      1.8153701608E+04      2.7296624805E+04
      7.9866300000E+07      7.5712302153E+10     -9.2521768158E+10      1.4417946573E+10      3.3622121438E+04      1.8151208310E+04      2.7294131507E+04
